AÑO,MES,DIA,FECHA,HORA,KW-H
2015,1,viernes,23,15,3200
2015,1,viernes,23,16,3200
2015,1,viernes,23,17,2700
2015,1,viernes,23,18,2700
2015,1,viernes,23,19,3600
2015,1,viernes,23,20,3600
2015,1,viernes,23,21,3600
2015,1,viernes,23,22,3400
2015,1,viernes,23,23,2900
2015,1,sábado,24,0,2800
2015,1,sábado,24,1,2900
2015,1,sábado,24,2,3000
2015,1,sábado,24,3,3000
2015,1,sábado,24,4,2800
2015,1,sábado,24,5,2800
2015,1,sábado,24,6,2900
2015,1,sábado,24,7,3000
2015,1,sábado,24,8,3000
2015,1,sábado,24,9,2800
2015,1,sábado,24,10,2800
2015,1,sábado,24,11,2800
2015,1,sábado,24,12,2800
2015,1,sábado,24,13,2800
2015,1,sábado,24,14,2800
2015,1,sábado,24,15,2800
2015,1,sábado,24,16,2800
2015,1,sábado,24,17,2800
2015,1,sábado,24,18,2800
2015,1,sábado,24,19,4000
2015,1,sábado,24,20,4000
2015,1,sábado,24,21,4000
2015,1,sábado,24,22,3400
2015,1,sábado,24,23,3000
2015,1,domingo,25,0,3000
2015,1,domingo,25,1,3300
2015,1,domingo,25,2,3800
2015,1,domingo,25,3,4000
2015,1,domingo,25,4,4300
2015,1,domingo,25,5,4300
2015,1,domingo,25,6,4500
2015,1,domingo,25,7,4500
2015,1,domingo,25,8,4700
2015,1,domingo,25,9,4300
2015,1,domingo,25,10,4100
2015,1,domingo,25,11,4000
2015,1,domingo,25,12,4100
2015,1,domingo,25,13,4100
2015,1,domingo,25,14,4000
2015,1,domingo,25,15,4000
2015,1,domingo,25,16,3800
2015,1,domingo,25,17,4000
2015,1,domingo,25,18,4000
2015,1,domingo,25,19,4400
2015,1,domingo,25,20,4400
2015,1,domingo,25,21,4400
2015,1,domingo,25,22,4000
2015,1,domingo,25,23,4000
2015,1,lunes,26,0,4000
2015,1,lunes,26,1,2800
2015,1,lunes,26,2,2800
2015,1,lunes,26,3,2800
2015,1,lunes,26,4,2800
2015,1,lunes,26,5,2800
2015,1,lunes,26,6,2800
2015,1,lunes,26,7,2800
2015,1,lunes,26,8,2800
2015,1,lunes,26,9,2800
2015,1,lunes,26,10,2800
2015,1,lunes,26,11,2800
2015,1,lunes,26,12,2800
2015,1,lunes,26,13,3200
2015,1,lunes,26,14,3200
2015,1,lunes,26,15,3200
2015,1,lunes,26,16,3200
2015,1,lunes,26,17,3200
2015,1,lunes,26,18,3200
2015,1,lunes,26,19,3400
2015,1,lunes,26,20,3400
2015,1,lunes,26,21,3400
2015,1,lunes,26,22,3400
2015,1,lunes,26,23,3400
2015,1,martes,27,0,3400
2015,1,martes,27,1,3400
2015,1,martes,27,2,3400
2015,1,martes,27,3,2400
2015,1,martes,27,4,2400
2015,1,martes,27,5,2400
2015,1,martes,27,6,2400
2015,1,martes,27,7,2400
2015,1,martes,27,8,2500
2015,1,martes,27,9,2500
2015,1,martes,27,10,2500
2015,1,martes,27,11,2800
2015,1,martes,27,12,2800
2015,1,martes,27,13,2800
2015,1,martes,27,14,2500
2015,1,martes,27,15,2500
2015,1,martes,27,16,2700
2015,1,martes,27,17,2700
2015,1,martes,27,18,3000
2015,1,martes,27,19,3600
2015,1,martes,27,20,3600
2015,1,martes,27,21,3600
2015,1,martes,27,22,3600
2015,1,martes,27,23,3400
2015,1,miercoles,28,0,3200
2015,1,miercoles,28,1,2800
2015,1,miercoles,28,2,2400
2015,1,miercoles,28,3,2400
2015,1,miercoles,28,4,2400
2015,1,miercoles,28,5,3000
2015,1,miercoles,28,6,3800
2015,1,miercoles,28,7,4400
2015,1,miercoles,28,8,4400
2015,1,miercoles,28,9,4400
2015,1,miercoles,28,10,4400
2015,1,miercoles,28,11,4400
2015,1,miercoles,28,12,4400
2015,1,miercoles,28,13,4400
2015,1,miercoles,28,14,4000
2015,1,miercoles,28,15,4000
2015,1,miercoles,28,16,4000
2015,1,miercoles,28,17,4000
2015,1,miercoles,28,18,4000
2015,1,miercoles,28,19,4400
2015,1,miercoles,28,20,4400
2015,1,miercoles,28,21,4400
2015,1,miercoles,28,22,4400
2015,1,miercoles,28,23,4200
2015,1,jueves,29,0,3200
2015,1,jueves,29,1,3200
2015,1,jueves,29,2,3200
2015,1,jueves,29,3,3200
2015,1,jueves,29,4,3200
2015,1,jueves,29,5,3200
2015,1,jueves,29,6,3500
2015,1,jueves,29,7,3500
2015,1,jueves,29,8,3700
2015,1,jueves,29,9,3700
2015,1,jueves,29,10,3700
2015,1,jueves,29,11,3700
2015,1,jueves,29,12,2800
2015,1,jueves,29,13,2800
2015,1,jueves,29,14,2800
2015,1,jueves,29,15,2800
2015,1,jueves,29,16,2800
2015,1,jueves,29,17,2800
2015,1,jueves,29,18,2800
2015,1,jueves,29,19,4200
2015,1,jueves,29,20,4200
2015,1,jueves,29,21,4200
2015,1,jueves,29,22,2800
2015,1,jueves,29,23,2600
2015,1,viernes,30,0,2600
2015,1,viernes,30,1,2600
2015,1,viernes,30,2,2600
2015,1,viernes,30,3,3200
2015,1,viernes,30,4,3400
2015,1,viernes,30,5,3400
2015,1,viernes,30,6,3600
2015,1,viernes,30,7,3600
2015,1,viernes,30,8,3800
2015,1,viernes,30,9,3400
2015,1,viernes,30,10,3400
2015,1,viernes,30,11,3400
2015,1,viernes,30,12,3400
2015,1,viernes,30,13,3400
2015,1,viernes,30,14,3000
2015,1,viernes,30,15,3000
2015,1,viernes,30,16,2600
2015,1,viernes,30,17,2600
2015,1,viernes,30,18,2600
2015,1,viernes,30,19,4000
2015,1,viernes,30,20,4000
2015,1,viernes,30,21,4000
2015,1,viernes,30,22,2600
2015,1,viernes,30,23,2600
2015,1,sábado,31,0,2600
2015,1,sábado,31,1,2600
2015,1,sábado,31,2,3000
2015,1,sábado,31,3,3400
2015,1,sábado,31,4,3400
2015,1,sábado,31,5,3400
2015,1,sábado,31,6,3400
2015,1,sábado,31,7,3500
2015,1,sábado,31,8,3500
2015,1,sábado,31,9,3500
2015,1,sábado,31,10,4300
2015,1,sábado,31,11,4300
2015,1,sábado,31,12,4300
2015,1,sábado,31,13,4700
2015,1,sábado,31,14,4700
2015,1,sábado,31,15,4600
2015,1,sábado,31,16,4500
2015,1,sábado,31,17,4500
2015,1,sábado,31,18,4500
2015,1,sábado,31,19,4400
2015,1,sábado,31,20,4400
2015,1,sábado,31,21,4600
2015,1,sábado,31,22,4600
2015,1,sábado,31,23,4600
2015,2,domingo,1,0,4600
2015,2,domingo,1,1,4600
2015,2,domingo,1,2,4600
2015,2,domingo,1,3,4600
2015,2,domingo,1,4,4600
2015,2,domingo,1,5,4600
2015,2,domingo,1,6,4000
2015,2,domingo,1,7,4000
2015,2,domingo,1,8,4000
2015,2,domingo,1,9,4000
2015,2,domingo,1,10,4000
2015,2,domingo,1,11,4200
2015,2,domingo,1,12,4400
2015,2,domingo,1,13,4600
2015,2,domingo,1,14,4600
2015,2,domingo,1,15,4600
2015,2,domingo,1,16,4600
2015,2,domingo,1,17,4600
2015,2,domingo,1,18,4600
2015,2,domingo,1,19,4600
2015,2,domingo,1,20,4600
2015,2,domingo,1,21,4600
2015,2,domingo,1,22,4400
2015,2,domingo,1,23,4000
2015,2,lunes,2,0,3800
2015,2,lunes,2,1,3400
2015,2,lunes,2,2,3400
2015,2,lunes,2,3,3800
2015,2,lunes,2,4,4000
2015,2,lunes,2,5,4000
2015,2,lunes,2,6,4500
2015,2,lunes,2,7,4400
2015,2,lunes,2,8,4400
2015,2,lunes,2,9,4400
2015,2,lunes,2,10,4000
2015,2,lunes,2,11,4000
2015,2,lunes,2,12,4000
2015,2,lunes,2,13,4200
2015,2,lunes,2,14,4200
2015,2,lunes,2,15,4200
2015,2,lunes,2,16,4100
2015,2,lunes,2,17,4000
2015,2,lunes,2,18,4000
2015,2,lunes,2,19,4200
2015,2,lunes,2,20,4200
2015,2,lunes,2,21,4200
2015,2,lunes,2,22,4200
2015,2,lunes,2,23,4200
2015,2,martes,3,0,4200
2015,2,martes,3,1,4100
2015,2,martes,3,2,4200
2015,2,martes,3,3,4000
2015,2,martes,3,4,3600
2015,2,martes,3,5,2900
2015,2,martes,3,6,3600
2015,2,martes,3,7,4000
2015,2,martes,3,8,4400
2015,2,martes,3,9,4400
2015,2,martes,3,10,4400
2015,2,martes,3,11,4400
2015,2,martes,3,12,4400
2015,2,martes,3,13,4400
2015,2,martes,3,14,4000
2015,2,martes,3,15,4000
2015,2,martes,3,16,4000
2015,2,martes,3,17,4000
2015,2,martes,3,18,4000
2015,2,martes,3,19,4400
2015,2,martes,3,20,4400
2015,2,martes,3,21,4400
2015,2,martes,3,22,4300
2015,2,martes,3,23,4300
2015,2,miercoles,4,0,4300
2015,2,miercoles,4,1,4100
2015,2,miercoles,4,2,4000
2015,2,miercoles,4,3,4000
2015,2,miercoles,4,4,4000
2015,2,miercoles,4,5,4100
2015,2,miercoles,4,6,4200
2015,2,miercoles,4,7,4200
2015,2,miercoles,4,8,4400
2015,2,miercoles,4,9,3100
2015,2,miercoles,4,10,4000
2015,2,miercoles,4,11,4000
2015,2,miercoles,4,12,4100
2015,2,miercoles,4,13,4200
2015,2,miercoles,4,14,4200
2015,2,miercoles,4,15,4200
2015,2,miercoles,4,16,3900
2015,2,miercoles,4,17,4000
2015,2,miercoles,4,18,4000
2015,2,miercoles,4,19,4400
2015,2,miercoles,4,20,4500
2015,2,miercoles,4,21,4500
2015,2,miercoles,4,22,4100
2015,2,miercoles,4,23,4100
2015,2,jueves,5,0,4100
2015,2,jueves,5,1,4300
2015,2,jueves,5,2,4100
2015,2,jueves,5,3,4100
2015,2,jueves,5,4,4000
2015,2,jueves,5,5,3900
2015,2,jueves,5,6,4100
2015,2,jueves,5,7,4000
2015,2,jueves,5,8,4000
2015,2,jueves,5,9,4000
2015,2,jueves,5,10,4000
2015,2,jueves,5,11,4300
2015,2,jueves,5,12,4300
2015,2,jueves,5,13,4300
2015,2,jueves,5,14,4300
2015,2,jueves,5,15,4300
2015,2,jueves,5,16,4000
2015,2,jueves,5,17,3300
2015,2,jueves,5,18,3300
2015,2,jueves,5,19,4400
2015,2,jueves,5,20,4400
2015,2,jueves,5,21,4400
2015,2,jueves,5,22,4100
2015,2,jueves,5,23,4100
2015,2,viernes,6,0,4100
2015,2,viernes,6,1,3900
